# Position (cm), Field Strength (mT)
0.000000000000000000e+00,7.174149999999999636e+03
5.000000000000000000e-01,7.175970000000000255e+03
1.000000000000000000e+00,7.175970000000000255e+03
1.500000000000000000e+00,7.176880000000000109e+03
2.000000000000000000e+00,7.176579999999999927e+03
2.500000000000000000e+00,7.176880000000000109e+03
3.000000000000000000e+00,7.176880000000000109e+03
3.500000000000000000e+00,7.177180000000000291e+03
4.000000000000000000e+00,7.177180000000000291e+03
4.500000000000000000e+00,7.177489999999999782e+03
5.000000000000000000e+00,7.177789999999999964e+03
5.500000000000000000e+00,7.177789999999999964e+03
6.000000000000000000e+00,7.176880000000000109e+03
6.500000000000000000e+00,7.175369999999999891e+03
7.000000000000000000e+00,7.172630000000000109e+03
7.500000000000000000e+00,7.167479999999999563e+03
8.000000000000000000e+00,7.159590000000000146e+03
8.500000000000000000e+00,7.152909999999999854e+03
9.000000000000000000e+00,7.135319999999999709e+03
9.500000000000000000e+00,7.108920000000000073e+03
1.000000000000000000e+01,7.075239999999999782e+03
1.050000000000000000e+01,7.027909999999999854e+03
1.100000000000000000e+01,6.962680000000000291e+03
1.150000000000000000e+01,6.882579999999999927e+03
1.200000000000000000e+01,6.782770000000000437e+03
1.250000000000000000e+01,6.659279999999999745e+03
1.300000000000000000e+01,6.515779999999999745e+03
1.350000000000000000e+01,6.351340000000000146e+03
1.400000000000000000e+01,6.159279999999999745e+03
1.450000000000000000e+01,5.945090000000000146e+03
1.500000000000000000e+01,5.708430000000000291e+03
1.550000000000000000e+01,5.454789999999999964e+03
1.600000000000000000e+01,5.179310000000000400e+03
1.650000000000000000e+01,4.892289999999999964e+03
1.700000000000000000e+01,4.598909999999999854e+03
1.750000000000000000e+01,4.294600000000000364e+03
1.800000000000000000e+01,3.993019999999999982e+03
1.850000000000000000e+01,3.704489999999999782e+03
1.900000000000000000e+01,3.417780000000000200e+03
1.950000000000000000e+01,3.160800000000000182e+03
2.000000000000000000e+01,2.909590000000000146e+03
2.050000000000000000e+01,2.667170000000000073e+03
2.100000000000000000e+01,2.455860000000000127e+03
2.150000000000000000e+01,2.256829999999999927e+03
2.200000000000000000e+01,2.083280000000000200e+03
2.250000000000000000e+01,1.909740000000000009e+03
2.300000000000000000e+01,1.757740000000000009e+03
2.350000000000000000e+01,1.614529999999999973e+03
2.400000000000000000e+01,1.478910000000000082e+03
2.450000000000000000e+01,1.361950000000000045e+03
2.500000000000000000e+01,1.253640000000000100e+03
